rank,channel_info,country,rank_group,follower_band,engagement_band,insight_segment,influence_score,balanced_influencer_score,posts,followers,followers_m,avg_likes,avg_likes_m,new_post_avg_like,new_post_avg_like_m,total_likes,total_likes_b,recent_60_day_eng_rate,recent_60_day_eng_rate_pct,engagement_rate,engagement_rate_pct,recent_eng_rate_missing,followers_score_0_100,engagement_score_0_100,recent_eng_score_0_100,influence_score_0_100
93,jbalvin,None,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,87,38.004080993093126,10000.0,52800000.0,52.8,878000.0,0.878,340500.0,0.3405,8800000000.0,8.8,0.0066,0.66,0.01662878787878788,1.6628787878787878,False,17.800350417021225,4.547527437523501,2.499053388867853,91.54929577464789
94,mosalah,None,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,22,8.079304040844615,840.0,52500000.0,52.5,1800000.0,1.8,1100000.0,1.1,1500000000.0,1.5,0.0218,2.18,0.03428571428571429,3.428571428571429,False,17.587305964207637,9.777240755778172,8.25444907232109,0.0
95,ayutingting92,Indonesia,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,85,35.61155173650546,10000.0,52400000.0,52.4,147300.0,0.1473,56300.0,0.0563,1500000000.0,1.5,0.0011,0.11,0.0028110687022900763,0.2811068702290076,False,17.516020527351454,0.4549289671075785,0.41650889814464226,88.73239436619718
96,433,Netherlands,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,79,34.278312538522115,10300.0,51200000.0,51.2,863200.0,0.8632,774200.0,0.7742,8900000000.0,8.9,0.0152,1.52,0.016859375,1.6859374999999999,False,16.649822707601643,4.615823839231783,5.755395683453238,80.28169014084507
97,hudabeauty,United States,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,82,33.8666069675497,2400.0,50800000.0,50.8,186400.0,0.1864,16800.0,0.0168,453600000.0,0.4536,0.0004,0.04,0.003669291338582677,0.3669291338582677,False,16.356572574641536,0.7091214719416252,0.15145778114350625,84.50704225352112
98,adele,United States,51-100,Q3 팔로워 중상,Q4 반응 높음,참여율 상위 10%,84,43.57356461751969,420.0,50700000.0,50.7,4700000.0,4.7,1900000.0,1.9,2000000000.0,2.0,0.0382,3.82,0.09270216962524655,9.270216962524655,False,16.282899249757385,27.07930723403794,14.464218099204846,87.32394366197182
99,michelleobama,None,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,85,36.74862985258362,600.0,50700000.0,50.7,700500.0,0.7005,611200.0,0.6112,421700000.0,0.4217,0.012199999999999999,1.22,0.013816568047337278,1.3816568047337279,False,16.282899249757385,3.7145906529748682,4.619462324876941,88.73239436619718
100,kritisanon,India,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,76,32.51401755363303,2700.0,50200000.0,50.2,897200.0,0.8972,604400.0,0.6044,2400000000.0,2.4,0.0121,1.21,0.017872509960159363,1.7872509960159364,False,15.912339226719865,4.915899020621019,4.5815978795910635,76.05633802816901
101,jamesrodriguez10,Colombia,101-200,Q2 팔로워 중하,Q3 반응 중상,팔로워 중위 이하·영향력 점수 높음,86,37.88035947022778,1100.0,49900000.0,49.9,1400000.0,1.4,363900.0,0.3639,1500000000.0,1.5,0.0075,0.75,0.028056112224448898,2.80561122244489,False,15.688227465190401,7.932127279264709,2.839833396440742,90.14084507042254
102,krisjenner,United States,101-200,Q2 팔로워 중하,Q1 반응 낮음,일반 계정,80,33.430082907094324,6400.0,49700000.0,49.7,356800.0,0.3568,452900.0,0.4529,2300000000.0,2.3,0.0091,0.91,0.007179074446680081,0.717907444668008,False,15.538069832576667,1.7486659000931726,3.445664521014767,81.69014084507043
103,thv,None,101-200,Q2 팔로워 중하,Q4 반응 높음,참여율 상위 10%,83,71.5685802069585,60.0,49300000.0,49.3,15400000.0,15.4,12600000.0,12.6,987400000.0,0.9874,0.258,25.8,0.31237322515212984,31.237322515212984,False,15.235933236838983,92.14253614761309,97.69026883756153,85.91549295774648
